ID,URL,Title,Text,Summary,Topic,Label
0,https://lesakerfrancophone.fr/la-relation-entre-la-technologie-et-la-religion,La relation entre la technologie et la religion,"La relation entre la technologie et la religion. Par Austin Cline − Le 27 fevrier 2019 − Source Learn Religions De nombreux laïcs et non-croyants de toutes sortes ont tendance à considérer la religion et la science comme fondamentalement incompatibles. Cette incompatibilité est également imaginée pour s’étendre à la relation entre la religion et la technologie, puisque la technologie est un produit de la science et que la science ne peut pas aller de l’avant sans la technologie, surtout aujourd’hui. Ainsi, bon nombre d’athées s’émerveillent avec incrédulité du nombre d’ingénieurs qui sont également des créationnistes et du nombre de personnes dans les industries de haute technologie qui affichent de grandes motivations religieuses. Mélanger technologie et religion Pourquoi assistons-nous à un enchantement généralisé pour la technologie et en même temps à une résurgence mondiale du fondamentalisme religieux ?","De nombreux laïcs et non-croyants de toutes sortes ont tendance à considérer la religion and the science comme fondamentalement incompatibles. Cette incompatibilité est également imaginée pour s’étendre. La technologie est un produit de the science, puisque la science ne peut pas aller.",Science & technologie,Science & technologie
1,https://www.breizh-info.com/2021/01/27/157958/confinement-les-habitants-de-brest-morlaix-et-carhaix-invites-a-repondre-a-une-etude-sur-leur-consommation-dalcool/,"Confinement. Les habitants de Brest, Morlaix et Carhaix invités à répondre à une étude sur leur consommation d’alcool","Confinement. Les habitants de Brest, Morlaix et Carhaix invités à répondre à une étude sur leur consommation d’alcool. Dans le cadre du Dry January, opération commerciale américaine (mais aussi sanitaire) placée sous le signe du sans alcool pendant un mois, le CHRU de Brest, en lien avec la ville de Brest dans le cadre du Plan Alcool, Brest métropole, l’association Addictions France et l’Université citoyenne de prévention en santé de Bretagne Occidentale, lance un questionnaire auprès des habitants de Brest, Morlaix et Carhaix. Le but ? Etudier la consommation d’alcool durant le confinement pour voir l’impact de celui ci dans les foyers.","Dry January est un opération commerciale américaine placée sous le signe du sans alcool pendant un mois. Les habitants de Brest, Morlaix and Carhaix invités à répondre à une étude.",Santé publique & médecine,Santé publique & médecine 
4,https://lesakerfrancophone.fr/selon-ubs-les-proprietes-dassurance-tant-de-fois-eprouvees-brillent-plus-que-jamais,"Selon UBS, les « propriétés d’assurance tant de fois éprouvées » de l’or brillent plus que jamais","Selon UBS, les « propriétés d’assurance tant de fois éprouvées » de l’or brillent plus que jamais. Par Birch Gold Group − Le 17 février 2022 − Source birchgold.com UBS : l’or accorde la solidité, et des « propriétés d’assurance tant de fois éprouvées » aux investisseurs Il y a peu, Elliot Smith, de CNBC, a exploré la résilience du prix de l’or au cours des dernières semaines de volatilité sur le marché des actions et les hausses des taux du Trésor. En règle générale, les niveaux de prix de l’or sont fortement affectés par deux forces — les taux des obligations, et le dollar index. Il y a peu, les taux de Trésor sur une durée de 10 ans ainsi que le dollar index ont monté par rapport à leur position restée basse des mois durant. Si l’on s’en fie à l’historique, une montée des taux pratiqués par le Trésor présente un impact négatif sur le prix de l’or.","UBS: Les propriétés d’assurance tant de fois éprouvées de l’or brillent plus que jamais. Elliot Smith, de CNBC, a exploré la résilience du prix de l'or.",Économie & finance,Économie & finance 
6,https://www.profession-gendarme.com/essonne-les-voleurs-tombent-sur-des-membres-du-gign-qui-sortaient-de-leur-entrainement/,Essonne : Les voleurs tombent sur des membres du GIGN qui sortaient de leur entraînement – Profession Gendarme,"Essonne : Les voleurs tombent sur des membres du GIGN qui sortaient de leur entraînement – Profession Gendarme. Vue(s) : 938 Illustration. (Frederic Legrand – COMEO / Shutterstock) Pas de chance pour cette équipe de voleurs chevronnés. Quatre hommes ont été interpellés à Guillerval (Essonne) par les gendarmes d’élite du Groupe d’intervention de la gendarmerie nationale (GIGN) qui revenaient d’un entraînement, mardi vers minuit et demi. Des individus au comportement suspect Les militaires, qui circulaient en voiture banalisée, ont repéré un véhicule suspect avec plusieurs individus à son bord.","Quatre hommes interpellés à Guillerval (Essonne) par les gendarmes d’élite. Les militaires, qui circulaient en voiture banalisée, ont repéré un véhicule suspect.",Sécurité & criminalité,Sécurité & criminalité
7,https://www.dreuz.info/2021/10/la-misere-energetique-pour-punir-les-consommateurs-253129.html,"La misère énergétique, pour punir les consommateurs","La misère énergétique, pour punir les consommateurs. Qui en France oserait tenir un tel discours ? Qui oserait s’en prendre à la doxa écologiste ressassée jusqu’à plus soif par les politiques, les dirigeants d’entreprises et les publicitaires ? On se souvient que le célèbre gauchiste américain Michael Moore [1] s’en était pris au lobby de l’électricité verte dans son documentaire «Planet of the Humans» véritable bombe anti-énergies renouvelables. Aujourd’hui un éditorialiste conservateur anglais n’hésite pas à le faire en s’en prenant, non pas à Greta Thunberg, mais au Premier ministre britannique qu’il a pourtant soutenu.",On se souvient that le célèbre gauchiste américain Michael Moore s’en était pris au lobby de l’électricité verte. Aujourd’hui un éditorialiste conservateur anglais n'thésite pas à le faire en s'en prenant.,Environnement & climat,Environnement & climat
8,https://www.dreuz.info/2019/04/israel-bombarde-des-cibles-iraniennes-et-du-hezbollah-en-syrie-188960.html,Israël bombarde des cibles iraniennes et du Hezbollah en Syrie,"Israël bombarde des cibles iraniennes et du Hezbollah en Syrie. L’armée de l’air israélienne aurait frappé des cibles militaires iraniennes près de Masyaf, dans la province de Hama en Syrie, selon la télévision d’Etat. Selon de nombreux reportages des médias, plusieurs explosions ont été entendues dans toute la ville syrienne de Masyaf. L’armée syrienne a annoncé que le pays a été bombardé par plusieurs missiles israéliens, dont certains ont été interceptés avec succès par les moyens de défense aérienne ; d’autres ont atteint plusieurs bâtiments, y compris un poste militaire dans la ville, qui se situe à proximité d’un hôpital afin de se servir des malades comme bouclier humain. Au moins trois soldats ont été blessés lors de l’attaque dans la région nord-ouest du pays et ont été transférés dans un hôpital pour y être soignés.","L’armée de l’air israélienne aurait frappé des cibles militaires iraniennes près de Masyaf, dans la province de Hama en Syrie, selon la télévision d’Etat. Au moins trois soldats ont été blessés lors of l'attaque.",Sécurité & criminalité,Politique
9,https://www.lelibrepenseur.org/point-de-situation-au-06-12-21-au-centre-hospitalier-de-haguenau-sur-8-patients-en-reanimation-7-sont-vaccines/,"Point de situation au 06/12/21 au Centre hospitalier de Haguenau : sur 8 patients en réanimation, 7 sont vaccinés !","Point de situation au 06/12/21 au Centre hospitalier de Haguenau : sur 8 patients en réanimation, 7 sont vaccinés !. Voici un document officiel du Centre hospitalier de Haguenau qui démontre qu’au 6 décembre 2021, ils avaient 8 patients en réanimations dont 7 sont vaccinés ; ça nous donne le chiffre de 87 % de vaccinés contre 13 % de non vaccinés ! Voici donc la réalité de la vie qui est à l’opposé de la propagande médiatique des voyous responsables de la gestion de cette crise qui n’a rien de sanitaire. On peut d’ailleurs multiplier les exemples notamment à l’étranger ou la grande majorité des malades en réanimation sont effectivement vaccinés étant donnée le taux important de vaccination. La question est de savoir s’il y en a autant aujourd’hui que l’année dernière, lorsque personne n’était vacciné.","Aujourd’hui, lorsque personne n’était vacciné. On peut multiplier les exemples notamment à l’étranger ou la grande majorité des malades en réanimation.",Santé publique & médecine,Santé publique & médecine 
10,https://lalettrepatriote.com/un-couple-loge-une-famille-de-migrants-36-000-e-de-degats/,Un couple loge une famille de migrants : 36.000 € de dégâts,"Un couple loge une famille de migrants : 36.000 € de dégâts. Nos confrères de 7sur7 (Belgique) ont recueilli ce témoignage : « Nous avons rapidement remarqué qu’il ne s’agissait pas d’une famille ukrainienne ordinaire. Deux semaines plus tard, le CPAS nous a indiqué qu’il s’agissait de gitans roms. Par exemple, les membres de cette famille ne savaient pas comment utiliser une machine à laver, un sèche-linge, un four… Tous ces appareils leur étaient inconnus. La mère lavait les vêtements dans notre baignoire.",Un couple loge une famille de migrants : 36.000 € de dégâts. Nous avons remarqué qu’il ne s’agissait pas d’une famille ukrainienne ordinaire.,Société & culture,Société & culture
11,https://www.bvoltaire.fr/la-grece-ne-veut-plus-etre-le-mouton-noir-de-leurope/,La Grèce ne veut plus être le mouton noir de l’Europe,"La Grèce ne veut plus être le mouton noir de l’Europe. Souvenez-vous : la Grèce devait être brûlée sur le bûcher de l'Euroland, comme le fut jadis Iphigénie en Tauride, immolée par son père Agamemnon pour plaire à la déesse Artémis. L'infâme Lysandre européenne, ou plutôt... l'intraitable Merkel avait exigé « du sang et des larmes » en déclarant sans ambages, en 2013, qu’il faudrait que cela fasse mal, très mal (« Es muss weh tun ! ») pour que la Grèce puisse prétendre à l’aide européenne.",La Grèce ne veut plus être le mouton noir de l’Europe. L'intraitable Merkel avait exigé « du sang and des larmes » en déclarant sans ambages.,Société & culture,Politique
14,https://lalettrepatriote.com/emmanuel-macron-et-giorgia-meloni-appellent-a-soutenir-la-tunisie-pour-contenir-la-pression-migratoire/,Emmanuel Macron et Giorgia Meloni appellent à soutenir la Tunisie pour contenir la pression migratoire,"Emmanuel Macron et Giorgia Meloni appellent à soutenir la Tunisie pour contenir la pression migratoire. BRUSSELS, BELGIUM - FEBRUARY 09: Italian Prime Minister Giorgia Meloni, President of the European Parliament (EP) Roberta Metsola and French President Emmanuel Macron pose for a photo before the EU Leaders' summit in Brussels, Belgium on February 09, 2023. Dursun Aydemir / Anadolu Agency (Photo by Dursun Aydemir / ANADOLU AGENCY / Anadolu Agency via AFP) Le président Emmanuel Macron et le premier ministre italien Giorgia Meloni ont appelé vendredi 24 mars à soutenir la Tunisie, confrontée à une grave crise financière, afin de contenir la pression migratoire. «Il existe un risque de voir se déclencher une vague migratoire objectivement sans précédent», a estimé Giorgia Meloni, «En Tunisie, la très grande tension politique, la crise économique et sociale qui sévit en absence d’accord avec le Fonds monétaire international, (sont) très préoccupantes», a déclaré Emmanuel Macron au cours d’une conférence de presse à l’issue d’un sommet européen. Cela «conduit à une très grande déstabilisation du pays et de la région et à une pression migratoire accrue sur l’Italie et l’Union européenne», a-t-il dit, appelant à «agir ensemble» au niveau européen pour aider la Tunisie et permettre une «maîtrise de l’émigration».","Emmanuel Macron and Giorgia Meloni appellent à soutenir la Tunisie pour contenir the pression migratoire. En Tunisie, la très grande tension politique, la crise économique et sociale sévit en absence d’accord avec le Fonds monétaire international. 'Il existe un risque of voir se déclencher une vague migratoires objectivement sans précédent,' says Meloni.",Politique,Politique
15,https://www.bvoltaire.fr/audiovisuel-public-la-grande-entourloupe-la-redevance-part-la-depense-reste/,"Audiovisuel public, la grande entourloupe : la redevance part, la dépense reste !","Audiovisuel public, la grande entourloupe : la redevance part, la dépense reste !. Alléluia ! Sonnez fanfares triomphales,/Tonnez canons, battez tambours !/Et vous, cloches des cathédrales,/Ébranlez-vous comme aux grands jours ! Emmanuel Macron tient sa première promesse de campagne, et même avec un an d’avance : la redevance télé, instaurée en 1933 pour la radio avant d’être étendue à la télévision en 1949, sera supprimée à compter de 2022. C’est ce que nous apprend le compte rendu du Conseil des ministres de mercredi dernier.","Emmanuel Macron tient sa première promesse de campagne, et même avec un an d’avance. La redevance télé, instaurée en 1933 pour the radio, sera supprimée à compter de 2022.",Politique,Politique
